policy,target,unsafe_rate,unsafe_rate_worst_topology,unsafe_rate_seed_min,unsafe_rate_seed_max,false_alarm_rate,false_alarm_rate_worst_topology,false_alarm_rate_seed_min,false_alarm_rate_seed_max,realized_escalation,realized_escalation_worst_topology,realized_escalation_seed_min,realized_escalation_seed_max,conditional_risk,conditional_risk_worst_topology,conditional_risk_seed_min,conditional_risk_seed_max,miss_rate,miss_rate_worst_topology,miss_rate_seed_min,miss_rate_seed_max,topologies,rows,unsafe_model_evaluations,false_alarm_model_evaluations,resolved_model_evaluations
classifier_conf,0.05,0.16308795878492977,0.6110590754257988,0.1607365361704594,0.16544785524795896,0.027200386991314707,0.13053007223409654,0.02688722460406597,0.02739057946731438,0.05094444444444443,0.050944444444444445,0.04806666666666667,0.054566666666666666,0.2512094127799689,0.8791433521648662,0.24884520668000715,0.2535094050626805,0.24524763139941538,0.6764082891544428,0.24078014290050517,0.24964488031135074,44,396,641584,57833,3953055
classifier_conf,0.1,0.1512588793609342,0.5895906918811052,0.14924143427280945,0.1540868624877559,0.01623702953803715,0.08629395474019469,0.01587585477256299,0.01657340738166242,0.10235555555555555,0.10235555555555556,0.09796666666666666,0.10563333333333333,0.23829095664483993,0.867453291663531,0.23628457739684497,0.2410174356009378,0.223146143017924,0.6526422849087781,0.21944963113077157,0.22824123170611396,44,396,594890,38906,3953055
classifier_conf,0.2,0.1306216165616109,0.5414511287108793,0.12961565657734841,0.13193282121215433,0.007228780679776683,0.05452357752369465,0.006840294669509353,0.007541763199560916,0.20031111111111108,0.2003111111111111,0.19656666666666667,0.2033,0.2177128710658483,0.8499758801354685,0.21662162116508213,0.2190975959055856,0.18772380222513074,0.5993545937161532,0.18593965305733356,0.18997247784388838,44,396,513501,19912,3953055
conservative_and,0.05,0.002668584835250812,0.008366666666666668,0.0025762470843863437,0.002795620578588988,0.03748855292594009,0.17713093528618096,0.03725622351787117,0.037773787126384566,0.04470580808080809,0.05581111111111111,0.04336363636363637,0.04568939393939394,0.009981933782533202,0.060672228785227315,0.009691939116228074,0.01038031627424314,0.004375902317895596,0.011041618324507644,0.004210092649569345,0.004604387753715595,44,396,10532,74532,3953055
conservative_and,0.1,0.0006041620192000919,0.0041,0.0005673177982517977,0.0006358737058393167,0.028245613817847483,0.15256408462092916,0.02787672115049747,0.028529906710494293,0.08657777777777777,0.10824444444444443,0.08461590909090909,0.08902575757575758,0.002971121575007894,0.026471281764183324,0.0028088493999791683,0.003107250158755911,0.0008058261534285148,0.005502543832543411,0.0007521467651572871,0.0008518953402040954,44,396,2377,56244,3953055
conservative_and,0.2,0.00010115771312794922,0.0011555555555555555,9.583467920573562e-05,0.0001049855991541947,0.01541230426239069,0.10724287724903432,0.015041229862522215,0.01576462591826743,0.16850833333333334,0.21534444444444445,0.16594772727272727,0.17156363636363636,0.0004661219215051096,0.004552349250923878,0.00044050082506480226,0.00048667654885376974,0.00013235681912549799,0.0015504917619996556,0.00012546778036257803,0.0001372618781137076,44,396,399,30389,3953055
error_ratio,0.05,0.1612184803346211,0.6008575791677734,0.1605756342198161,0.16194598205996186,0.032751280991941294,0.18097668120746302,0.032085940061242435,0.03350992726070814,0.05324444444444447,0.05324444444444445,0.05006666666666667,0.05573333333333333,0.25144422556789875,0.8836294187712487,0.25092058750220775,0.2521866391200018,0.2433942170686846,0.6651180736398616,0.24225886788881795,0.24472324052854505,44,396,634252,63661,3953055
error_ratio,0.1,0.1485048598105361,0.5729249427746999,0.14743092836178168,0.14961357003788694,0.024766929466353935,0.15414058940107334,0.024165468324483845,0.02545609475385808,0.10121111111111109,0.10121111111111111,0.09736666666666666,0.10356666666666667,0.23882567590548395,0.8751644437121855,0.237855178093442,0.23995956635070703,0.22077368604201936,0.6341947139211225,0.2189497936802898,0.2227855370269682,44,396,584100,47576,3953055
error_ratio,0.2,0.12476922552409007,0.5125348119488522,0.12375478284703875,0.12590355871538575,0.012516626714819745,0.10047332824068428,0.010530771578072364,0.013555713124081022,0.2034444444444445,0.20344444444444443,0.19723333333333334,0.2123,0.21529757572712624,0.8549966511027133,0.21402533584756572,0.21660837689638646,0.18120180741913863,0.5673425380553059,0.17946160595392785,0.18312075336805417,44,396,490526,23830,3953055
nn_approval_signed_physics,0.05,0.0009023382266538323,0.0048222222222222225,0.0007791941973108569,0.000985249396382741,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.20859621212121215,0.5882444444444445,0.2071469696969697,0.21043030303030305,0.004259992829151484,0.038681819322004894,0.0037963131083812137,0.004582024346403516,0.0012828670351685172,0.006469213069616077,0.001083740468924034,0.0014159522860524212,44,396,3552,87944,3953055
nn_approval_signed_physics,0.1,0.00018893767182375984,0.0017333333333333333,0.00018333807946617652,0.00019249504376012727,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.24288484848484845,0.5954555555555555,0.2418621212121212,0.24459999999999998,0.000939470260166354,0.007348398518907378,0.0009078227973034901,0.0009597106679663924,0.00024541901091132407,0.002327357616470367,0.0002383090508816121,0.00024991900602889015,44,396,745,87944,3953055
nn_approval_signed_physics,0.2,1.1429691566677272e-05,0.00013333333333333334,1.1429691566677273e-05,1.1429691566677273e-05,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.31560353535353536,0.6075555555555555,0.3146568181818182,0.3165022727272727,5.707092070021591e-05,0.0005352239650115889,5.7044923445118934e-05,5.708771785746288e-05,1.4927525395098485e-05,0.000179206127155,1.4927525395098485e-05,1.4927525395098485e-05,44,396,45,87944,3953055
nn_margin,0.05,0.16142543025898923,0.5989189313955251,0.16075483903108664,0.16250915839596497,0.034766959415839765,0.18637332085211206,0.03417465854377655,0.03554783160676064,0.05221111111111112,0.05221111111111111,0.048100000000000004,0.055,0.2521996875662926,0.8839694717733796,0.25149728403706567,0.25329047705734015,0.2442783397558719,0.6629710355629642,0.24301410291526518,0.2462938105610837,44,396,635085,67182,3953055
nn_margin,0.1,0.1483587908855023,0.5683979100732124,0.14750137681456943,0.14885131036529103,0.02683920947098193,0.1628386148474444,0.02626415570076011,0.027195234231010553,0.10222222222222223,0.10222222222222223,0.10016666666666667,0.1056,0.239381215286937,0.875429508804402,0.2385267804645763,0.2398738212908412,0.22115882072230564,0.6291848779846527,0.2196810358050416,0.22200334959253973,44,396,583553,50773,3953055
nn_margin,0.2,0.12168793454196182,0.5014802309574313,0.12088822003095126,0.12246084522568397,0.015504459072119482,0.12359598871751322,0.015199702117585196,0.015676198619920957,0.20490000000000003,0.2049,0.2023,0.20823333333333333,0.2128318673942106,0.8555405937567419,0.21201427384778182,0.21361386507319238,0.17633895265446478,0.5551087404159483,0.1750302602236494,0.17758388803261743,44,396,478401,27201,3953055
nn_spread,0.05,0.16960622103436315,0.596918169956423,0.16946171276184444,0.169724351201893,0.04016467144500246,0.18461920939728005,0.03830985613507961,0.041577966565835095,0.047733333333333336,0.04773333333333333,0.04603333333333333,0.0492,0.2613944122788998,0.8833764174260919,0.2611101148538612,0.2617576630319013,0.2608966828683521,0.6607534536270924,0.260555871568549,0.26115305745840556,44,396,667494,81762,3953055
nn_spread,0.1,0.16206705430576768,0.5685503894537786,0.16178786075686305,0.16252437754760984,0.036173288334834644,0.16096385562789187,0.03402768833900656,0.03755494403414354,0.09670000000000001,0.0967,0.09476666666666667,0.098,0.25519404661852296,0.8751777296290979,0.25507699644321147,0.25535876982563516,0.24899292862945152,0.6293526252715294,0.24859828366651737,0.24944345940025103,44,396,637836,75610,3953055
nn_spread,0.2,0.1461365672957834,0.5151422943478029,0.14548000704545266,0.1470175114203477,0.029497426709750377,0.11606576522371978,0.026029884179259312,0.031858411234191766,0.19697777777777786,0.19697777777777778,0.19336666666666666,0.2001,0.24158432776243524,0.8577467460714266,0.24141660445151714,0.24187065089087992,0.22380175487974716,0.5702296205464097,0.22298277160511953,0.22448359029710518,44,396,575122,64493,3953055
phy_d,0.05,0.0028309354366899747,0.008566666666666667,0.0027074977573225455,0.0029949910044614206,0.0018921545766613366,0.0182145607431603,0.001847479029183344,0.00196416486593818,0.22057828282828282,0.6026666666666667,0.21929696969696968,0.22142651515151515,0.009972005763598912,0.05263440008476997,0.009636328554343408,0.010401022112749164,0.004675891198808105,0.011428998837491933,0.0044399637950729865,0.00499355962271226,44,396,11174,1851,3953055
phy_d,0.1,0.0006056771707152434,0.0041,0.0005673177982517977,0.0006366312815968924,0.0007864183594621922,0.010094467344701733,0.0007679595858721363,0.0008093776771576258,0.2518472222222222,0.6089444444444445,0.2504136363636364,0.2537462121212121,0.0028267267180024647,0.022740543070998223,0.0026674350745855896,0.0029518755081234817,0.0008079244580809753,0.005502543832543411,0.0007521467651572871,0.0008532578865306704,44,396,2383,621,3953055
phy_d,0.2,0.00010115771312794922,0.0011555555555555555,9.583467920573562e-05,0.0001049855991541947,0.00013121518465280784,0.0015186738068551,0.00012084358071894774,0.00013640098661973788,0.3146224747474747,0.6198777777777777,0.31260303030303027,0.3170037878787879,0.0004556669608311223,0.004524672663784634,0.0004308172235001159,0.00047524633805498106,0.00013235681912549799,0.0015504917619996556,0.00012546778036257803,0.0001372618781137076,44,396,399,106,3953055
phy_min,0.05,0.1554418440503053,0.6016189159912109,0.15431912554187424,0.15677165791096617,0.03174243733518623,0.1653704210797023,0.030986764776155876,0.03280140799962983,0.05899747474747474,0.06722222222222222,0.054877272727272726,0.0623560606060606,0.24467070898447646,0.8817990377642579,0.24346188950285713,0.24611364894055163,0.23215260376755237,0.6659586841899819,0.2300531260237671,0.2346161876365514,44,396,611371,63479,3953055
phy_min,0.1,0.13408662192239104,0.5645446979185385,0.1328431663319561,0.13491235431610005,0.018491490824652315,0.12337882236458607,0.017700102135536966,0.018996286205180724,0.1285638888888889,0.145,0.12555378787878788,0.13304545454545455,0.22215128879580892,0.8695490157326395,0.22085727100133914,0.22299634093399087,0.1940079138612341,0.6249182843418202,0.19190548072627228,0.1953908108456763,44,396,527062,36272,3953055
phy_min,0.2,0.10174268550781272,0.4919114956770935,0.10054169524184153,0.10248358158457667,0.005078921317567516,0.05794595452434955,0.004807765787379607,0.005243583707989891,0.251925,0.29056666666666664,0.24894545454545453,0.2567628787878788,0.1874921194607884,0.8438448935089881,0.1861636007875582,0.18830941674657614,0.14141262314705705,0.5445139692410167,0.1395476623553191,0.14255009923855333,44,396,399484,9079,3953055
physics_approval_only,0.05,0.0013120970323548728,0.005844444444444445,0.0012305772149208182,0.0014113122910990607,0.0075224567256841355,0.03364991528136956,0.007522456725684136,0.007522456725684136,0.04339595959595959,0.053755555555555556,0.04223030303030303,0.044509090909090915,0.005463846921496029,0.04271866346848536,0.005191351411658421,0.005786612289544744,0.0019779714283748836,0.00783891099623301,0.0018366261599672734,0.002152772780092875,44,396,5167,10569,3953055
