test_seed,condition,topology_id,partition,generated,n,unresolved
9101,id,base,base,10000,10000,0
9101,id,close32_open01,heldout,10000,10000,0
9101,id,close32_open02,development,10000,10000,0
9101,id,close32_open03,heldout,10000,10000,0
9101,id,close32_open04,heldout,10000,10000,0
9101,id,close32_open05,heldout,10000,10000,0
9101,id,close32_open06,heldout,10000,10000,0
9101,id,close32_open17,development,10000,10000,0
9101,id,close32_open18,heldout,10000,10000,0
9101,id,close32_open19,heldout,10000,10000,0
9101,id,close33_open08,heldout,10000,10000,0
9101,id,close33_open09,development,10000,10000,0
9101,id,close33_open10,heldout,10000,10000,0
9101,id,close33_open11,development,10000,10000,0
9101,id,close33_open12,development,10000,10000,0
9101,id,close33_open13,heldout,10000,10000,0
9101,id,close34_open01,heldout,10000,9198,802
9101,id,close34_open02,heldout,10000,10000,0
9101,id,close34_open03,development,10000,10000,0
9101,id,close34_open04,heldout,10000,10000,0
9101,id,close34_open05,development,10000,10000,0
9101,id,close34_open06,heldout,10000,10000,0
9101,id,close34_open07,heldout,10000,10000,0
9101,id,close34_open08,heldout,10000,10000,0
9101,id,close34_open09,heldout,10000,10000,0
9101,id,close34_open10,heldout,10000,10000,0
9101,id,close34_open17,heldout,10000,10000,0
9101,id,close34_open18,heldout,10000,10000,0
9101,id,close34_open19,heldout,10000,10000,0
9101,id,close34_open20,development,10000,10000,0
9101,id,close35_open05,heldout,10000,10000,0
9101,id,close35_open06,heldout,10000,10000,0
9101,id,close35_open07,development,10000,10000,0
9101,id,close35_open08,heldout,10000,10000,0
9101,id,close35_open09,heldout,10000,10000,0
9101,id,close35_open10,heldout,10000,10000,0
9101,id,close35_open11,heldout,10000,10000,0
9101,id,close35_open12,heldout,10000,10000,0
9101,id,close35_open13,heldout,10000,10000,0
9101,id,close35_open14,heldout,10000,10000,0
9101,id,close35_open15,heldout,10000,10000,0
9101,id,close35_open16,heldout,10000,10000,0
9101,id,close35_open24,heldout,10000,10000,0
9101,id,close35_open25,heldout,10000,10000,0
9101,id,close35_open26,heldout,10000,10000,0
9101,id,close35_open27,heldout,10000,10000,0
9101,id,close35_open28,development,10000,10000,0
9101,id,close35_open29,heldout,10000,10000,0
9101,id,close35_open30,development,10000,10000,0
9101,id,close35_open31,development,10000,10000,0
9101,id,close36_open02,development,10000,10000,0
9101,id,close36_open03,heldout,10000,10000,0
9101,id,close36_open04,heldout,10000,10000,0
9101,id,close36_open21,heldout,10000,10000,0
9101,id,close36_open22,heldout,10000,10000,0
9101,id,close36_open23,heldout,10000,10000,0
9101,id,close36_open24,heldout,10000,10000,0
9101,id,close36_open25,heldout,10000,10000,0
9101,id,close36_open26,development,10000,10000,0
9101,id,close36_open27,development,10000,10000,0
9101,pv_shift,base,base,10000,10000,0
9201,id,base,base,10000,10000,0
9201,id,close32_open01,heldout,10000,10000,0
9201,id,close32_open02,development,10000,10000,0
9201,id,close32_open03,heldout,10000,10000,0
9201,id,close32_open04,heldout,10000,10000,0
9201,id,close32_open05,heldout,10000,10000,0
9201,id,close32_open06,heldout,10000,10000,0
9201,id,close32_open17,development,10000,10000,0
9201,id,close32_open18,heldout,10000,10000,0
9201,id,close32_open19,heldout,10000,10000,0
9201,id,close33_open08,heldout,10000,10000,0
9201,id,close33_open09,development,10000,10000,0
9201,id,close33_open10,heldout,10000,10000,0
9201,id,close33_open11,development,10000,10000,0
9201,id,close33_open12,development,10000,10000,0
9201,id,close33_open13,heldout,10000,10000,0
9201,id,close34_open01,heldout,10000,9266,734
9201,id,close34_open02,heldout,10000,10000,0
9201,id,close34_open03,development,10000,10000,0
9201,id,close34_open04,heldout,10000,10000,0
9201,id,close34_open05,development,10000,10000,0
9201,id,close34_open06,heldout,10000,10000,0
9201,id,close34_open07,heldout,10000,10000,0
9201,id,close34_open08,heldout,10000,10000,0
9201,id,close34_open09,heldout,10000,10000,0
9201,id,close34_open10,heldout,10000,10000,0
9201,id,close34_open17,heldout,10000,10000,0
9201,id,close34_open18,heldout,10000,10000,0
9201,id,close34_open19,heldout,10000,10000,0
9201,id,close34_open20,development,10000,10000,0
9201,id,close35_open05,heldout,10000,10000,0
9201,id,close35_open06,heldout,10000,10000,0
9201,id,close35_open07,development,10000,10000,0
9201,id,close35_open08,heldout,10000,10000,0
9201,id,close35_open09,heldout,10000,10000,0
9201,id,close35_open10,heldout,10000,10000,0
9201,id,close35_open11,heldout,10000,10000,0
